Q1_1,Q1_2,Q1_3,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16A,Q17A,Q18A,Q19A,Q16B,Q17B,Q18B,Q19B,Q20_1,Q20_2,Q20_3,Q20_4,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q24_1,Q24_2,Q24_3,Q24_4,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q26,Q26_5_TEXT,Q27,Q28,Q29,Q30,Q30_7_TEXT,Q31,Q31_8_TEXT,Q32,Q33
Strongly agree,Agree,Disagree,Very similar,,Very uncomfortable,,Very uncomfortable,,Very uncomfortable,,Very uncomfortable,,Very uncomfortable,,Very uncomfortable,,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Neutral,Agree,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Strongly agree
",Female,,1966,"Some college, no degree",Conservative,White,,Working for pay,,"Rarely
","$30,000-$40,000"
Strongly agree,Agree,Disagree,Somewhat similar,,Very comfortable,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Very uncomfortable,,Uncomfortable,,Uncomfortable,,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly disagree,Don't know/ not sure,Strongly agree,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,"Strongly agree
",Disagree,Agree,Female,,1976,"Some college, no degree",Very liberal,White,,"Unpaid household work (children, family, etc.)",,"Rarely
","Greater than $100,000"
Agree,Agree,Disagree,Somewhat different,all involve changes in genetic strusture but are achieved in different ways,Very comfortable,I presume I have already been ingesting these varieties for many years.,Uncomfortable,not sure of the results when changing from tomato to sugar beet,Don't know/not sure,uncertain,Comfortable,benefits seem to outweight the risks,Neither comfortable nor uncomfortable,uncertain,Don't know/not sure,uncertain,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",uncertain,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",uncertain,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Male,,1947,"Masters (MA, MS, MBA, Med)",Conservative,White,,Retired,,Once a week,"Greater than $100,000"
Agree,Neutral,Neutral,Neither similar nor different,not so much,Comfortable,looks good,Comfortable,beets are good for you,Neither comfortable nor uncomfortable,so so,Neither comfortable nor uncomfortable,hard to believe,Uncomfortable,not good,Uncomfortable,I think so,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",pesicides are bad,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",like bio diversity,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Male,,1939,"Masters (MA, MS, MBA, Med)",Liberal,East Asian,,Retired,,Never,"Greater than $100,000"
Agree,Neutral,Neutral,Somewhat different,copying another to be the same,Uncomfortable,like organic,Comfortable,thats natural,Uncomfortable,not sure about the genes ,Uncomfortable,dont like playing with nature,Comfortable,to better the crop,Neither comfortable nor uncomfortable,doesnt matter,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,,,,,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Female,,1946,High school diploma or GED,Liberal,White,,Retired,,"Rarely
","$20,000-$30,000"
Agree,Agree,Disagree,Somewhat similar,"From the definition the three terms are all related, one leading to the next one. Editing leading to gene drives so that in the end the process is complete.",Very uncomfortable,Heirloom tomatoes taste better and are healthier.,Very uncomfortable,Plants should not be tampered with.,Uncomfortable,I am not exactly sure that that is all that is changed in the dairy cow.,Very uncomfortable,Changes the genes is making the dairy cow into something that it was not meant to be just a milk funnel.  The dairy cow was created to produce milk at certain times and in certain quantities.,Very uncomfortable,"Altering any of God's creation is wrong and harmful to consumers.
",Very uncomfortable,Same reason as before it is not our place to alter what God created.,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Female,,1959,Associates (2-year degree),Very conservative,White,,"Unpaid household work (children, family, etc.)",,Once a week,"Less than $20,000"
Agree,Agree,Disagree,Somewhat different,,Comfortable,,Neither comfortable nor uncomfortable,,Comfortable,,Uncomfortable,,Comfortable,,Comfortable,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Don't know/not sure,Agree,Neutral,Don't know/not sure,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Don't know/not sure,Agree,Agree,Neutral,Agree,Male,,1943,"Bachelors (BA, BS, AB)",Conservative,White,,Working for pay,,Never,"$80,000-$100,000"
Agree,Agree,Disagree,Somewhat different,,Neither comfortable nor uncomfortable,,Uncomfortable,,Comfortable,,Comfortable,,Comfortable,,Comfortable,,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ",,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Female,,1948,High school diploma or GED,Liberal,White,,Retired,,Once or twice a month,"$20,000-$30,000"
Agree,Disagree,Disagree,Somewhat similar,altering of genes,Neither comfortable nor uncomfortable,I don't think it was necessary to edit the genes in the first place. Go back to using the heirloom varieties,Neither comfortable nor uncomfortable,I think we should keep food natural,Very uncomfortable,Just let the cows keep their horns,Very uncomfortable,Why do we need to increase milk producing capacity?,Comfortable,people should eat less wheat,Comfortable,it's fine,,,,,"A large increase in production of gene-edited crops in exchange for a large decrease in pesticide use
 ","gene editing in plants seems less harmful than pesticides. however I would prefer if they could find other ways to use less pestisides
",Don't know/not sure,I don't really know what is meant by biodiversity,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Don't know/not sure,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Agree,Female,,1990,"Bachelors (BA, BS, AB)",Moderate,White,,Working for pay,,"Rarely
","$80,000-$100,000"
Agree,Agree,Neutral,Very different,,Very uncomfortable,,Comfortable,,Don't know/not sure,vegetarian doesnt affect me or my family,Very uncomfortable,,Uncomfortable,,Uncomfortable,,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,"Strongly agree
",Neutral,"Strongly agree
",Disagree,"Strongly agree
",Female,,1980,"Bachelors (BA, BS, AB)",Conservative,White,,Working for pay,,"Rarely
","$60,000-$80,000"
Agree,Agree,Disagree,Somewhat different,Results and intentions,Neither comfortable nor uncomfortable,May alter taste and actual genetic ,Uncomfortable,Unatural,Uncomfortable,Unatural,Uncomfortable,Unatural,Comfortable,Should not intrude on end product for consumption ,Comfortable,So reasoning,,,,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,Have no info,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",Stay natural,Neutral,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Female,,1952,"Bachelors (BA, BS, AB)",Moderate,East Asian,,Retired,,"Rarely
","$40,000-$50,000"
Agree,Disagree,Disagree,Don't know/not sure,,Comfortable,,Comfortable,,Uncomfortable,,Uncomfortable,,Comfortable,,Neither comfortable nor uncomfortable,,Don't know/not sure,,Don't know/not sure,,,,,,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Male,,1950,"Some college, no degree",Conservative,White,,Retired,,Once a week,"$60,000-$80,000"
Neutral,Strongly disagree,Strongly disagree,Very similar,,Neither comfortable nor uncomfortable,,Neither comfortable nor uncomfortable,,Uncomfortable,,Uncomfortable,,Neither comfortable nor uncomfortable,I know absolutely nothing about any of this. I would need to know pros and cons of each and the effects. ,Neither comfortable nor uncomfortable,,I prefer not to answer this question because I don't have information on who owns or controls these technologies,,I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,,,,,,Neutral,Disagree,Disagree,Don't know/not sure,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Strongly disagree,Strongly disagree,Don't know/ not sure,Disagree,Strongly agree,Neutral,Don't know/not sure,Don't know/not sure,Don't know/not sure,Neutral,Agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1978,"Some college, no degree",Very conservative,White,,"Unpaid household work (children, family, etc.)",,Once or twice a month,"Greater than $100,000"
Agree,Agree,Disagree,Somewhat similar,"all relate to the same thing, and seem to be related, just some being more specific to the subject",Very uncomfortable,Taking away something that leads to natural taste and then re-inserting something to bring a similar taste back again seems wrong.  I don't trust that it won't affect my body,Very uncomfortable,same reason as previous answer,Uncomfortable,"I don't feel comfortable changing something the an animal was created with.  There is no doubt a reason for the horns, similar to our finger or toe nails.",Uncomfortable,same reason.  Rarely does changing an animal for more production lead to real benefits,Uncomfortable,similar to previous answers.  I worry that inserting another gene will have unintended and unknown consequences to health,Uncomfortable,same reasoning,,,,,I prefer not to answer this question because it doesn't discuss other ways of avoiding pesticide use,"It sounds like a great idea, as I hate pesticides.  But, I'm sure there are other options.  ",I prefer not to answer this question because it doesn't discuss other ways of conserving biodiversity,same as previous,Disagree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Disagree,Neutral,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Male,,1976,"Some college, no degree",Moderate,White,,Working for pay,,More than once a week,"$80,000-$100,000"
Neutral,Strongly disagree,Strongly disagree,Very different,,Comfortable,,Comfortable,,Comfortable,,Uncomfortable,,Comfortable,,Comfortable,,,,,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",,"No change: production of gene-edited crops and biodiversity loss stay the same
 ",,Agree,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Disagree,Agree,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Don't know/not sure,Female,,1955,"Some college, no degree",Conservative,White,,Retired,,Never,"$20,000-$30,000"
Strongly agree,Agree,Agree,Somewhat similar,All about modifying ,Comfortable,Loosing taste is very bad,Comfortable,Not sure,Very uncomfortable,To much of hurting animals for better feeling people,Very uncomfortable,To much pain for the animals,Comfortable,No pain so its fine,Comfortable,Still fine ,,,,,"A small increase in production of gene-edited crops in exchange for a small decrease in pesticide use
 ",Better,"A large increase in production of gene-edited crops in exchange for large improvements to biodiversity
 ",Better,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Female,,1984,"Bachelors (BA, BS, AB)",Moderate,White,,Working for pay,,Never,"$60,000-$80,000"
